Acct_Mgr_Quality,Acct_Team_Ability,Acct_Team_Breadth,Acct_Team_Contribution,Acct_Team_Engagement,Acct_Team_Info,Acct_Team_Leadership,Acct_Team_Plan,Acct_Team_Problem_Solver,Acct_Team_Sales_Support,Acct_Team_Satisfaction,Communications,Competitor_Comparison,Continue,Credit_Score,Ease,Joint_Service_Delivery,Loyalty,Mean_Sat,Mktg_Proj,Online_Tools/Applications_Satisfaction,Online_Tools_Colloboration,Online_Tools_Ease,Online_Tools_Effectiveness,Online_Tools_Help,Online_Tools_Sufficient,Online_Tools_Timeliness,Operation_Support_Quality,Partnership_Committed,Product_Quality,Profit,Relationship,Sales_Expectation,Sales_Training,Satisfaction,Service_Account_Team_Satisfaction,Service_Sales_Support,Service_Support,Solutions_Support,Support_Importance,Support_Mgr_Quality,Support_Quality,Svc_Proj,Team_Comparison,Value,Will_Recommend,Qtr
3.0,4.0,3.94800638264,4.0,4.31552872634,4.0,3.84044149938,4.0,4.0,4.0,4.55924224149,4.0,5.0,5.0,3.0,4.0,3.48597282906,1.0,4.28,4.0,4.35585809151,4.28511085177,4.48493537466,4.35459866603,3.98307021301,3.88213761708,3.94800638264,3.94800638264,5.0,5.0,4.0,5.0,3.0,4.43576915022,5.0,3.0,3.67724182991,3.56551527645,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0
4.0,3.86417918716,3.82712735275,4.0,3.63808574333,3.94174352243,4.0,3.65398478783,3.95581636009,3.88768641345,4.0,4.0,3.0,5.0,5.0,4.0,3.83736019773,1.0,4.04,4.0,4.0,4.0,4.0,4.00096416533,4.0,4.0,3.82712735275,3.82712735275,5.0,4.0,4.0,3.0,4.0,3.81886905967,4.0,4.08938040436,3.9703057042,3.87752115132,3.89366152169,5.0,4.0,4.0,3.95424233844,3.0,4.0,5.0,5.0
3.77578546086,3.67714780235,3.64233636133,3.54659811338,3.25194057672,3.74658457744,3.69402143641,3.44710744602,3.72770993946,3.62227524072,3.66016523268,3.7685492322,3.11592561559,4.31093743413,3.0,3.44030710358,3.65265238584,0.0,3.79636876598,3.79064381501,3.91167713929,3.82735752179,4.30078856863,3.95463901827,3.7214257419,3.57211786729,3.64233636133,3.64233636133,4.11308898996,4.16648190521,3.69367915106,3.52513491682,3.64755160257,3.50421331301,3.78477386294,3.90112380849,3.83305610775,3.71118390522,3.75663469904,4.18843068782,3.86494913521,3.83915673373,3.78090373251,3.39238152549,3.4730409273,4.25551945456,5.0
5.0,4.97335482038,4.20183021725,5.0,4.66608074124,4.93491518645,4.52149261164,4.84532504057,4.98723055291,4.95183422105,4.81180872754,5.0,4.29630912928,5.0,1.0,5.0,4.63663726137,1.0,4.9411764706,5.0,4.70086366589,4.75880890657,4.72461507611,4.76868841091,4.46388905006,4.53164592419,4.20183021725,4.20183021725,5.0,5.0,5.0,5.0,4.0,4.79942276891,5.0,5.0,4.74360098545,4.61684328597,4.67508294025,5.0,5.0,5.0,4.79916582334,4.68306271164,5.0,5.0,5.0
3.0,3.27858147329,3.51171937522,3.0,3.35401929388,3.38845932782,4.0,3.07497208213,3.38441302465,3.3031977718,2.0,3.0,3.0,4.0,5.0,4.0,3.21195033918,1.0,3.4583333333,3.55627389136,4.0,3.0,3.0,3.70056977238,4.0,3.0,3.51171937522,3.51171937522,3.92637330494,4.0,3.0,4.0,4.0,3.51876323626,4.0,3.52601577495,3.37865231418,3.27630508084,3.31703795744,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0
5.0,4.65806507134,4.00913421724,5.0,3.49612704187,4.62203646916,5.0,4.35950860715,4.71735255947,4.63733527194,3.0,4.0,5.0,5.0,3.0,3.0,4.38046139032,1.0,4.4,5.0,4.0,4.0,5.0,3.66011888837,3.0,3.0,4.00913421724,4.00913421724,5.0,5.0,5.0,5.0,4.0,3.80727170821,4.0,4.66329215343,4.53576233266,4.45389305755,4.41464877595,5.0,4.0,5.0,4.38107888508,5.0,4.0,5.0,5.0
3.0,3.71624576303,3.66521999205,4.0,3.3344133706,3.74277711051,3.53094632719,3.44260196139,3.78620820239,3.68567446423,4.0,4.0,3.72798764143,4.0,3.0,3.0,3.47631157434,1.0,4.0,3.87802583479,3.62333592097,3.59154498485,4.22661453437,3.6558207212,3.55265723669,3.31836214658,3.66521999205,3.66521999205,5.0,4.0,3.0,4.0,5.0,3.59598734916,4.0,4.0,3.67918714488,3.58350109947,3.60686203473,5.0,4.0,4.0,3.91976679973,3.89108837883,4.0,4.0,5.0
4.0,4.0,4.0268653733,4.11479996364,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.40817454769,5.0,1.0,5.0,3.97092626268,1.0,4.4827586207,5.0,5.0,4.0,5.0,4.86554483409,4.0,4.0,4.0268653733,4.0268653733,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.20402636425,4.12687134951,4.00232391386,4.10393420528,5.0,4.0,5.0,4.0,4.38583249565,5.0,5.0,5.0
5.0,4.0,3.9940910462,4.0,4.59050284091,4.0,4.0,4.0,4.0,4.0,4.74470859607,5.0,5.0,5.0,1.0,5.0,3.64414132396,1.0,4.3928571429,4.39944789897,4.0,4.0,4.0,4.15525243855,4.0,4.0,3.9940910462,3.9940910462,5.0,4.0,4.0,5.0,5.0,4.67137292761,5.0,3.99075901744,3.82660293553,3.69883710918,3.77790365466,5.0,5.0,4.0,5.0,4.5266052856,3.0,5.0,5.0
4.51119313921,4.30970830926,3.69018006781,4.13383725508,3.48422211752,4.25695018044,3.50755775375,4.0432883444,4.36248411031,4.27379013361,4.0,4.0,5.0,5.0,1.0,3.62854693716,3.71667491816,1.0,4.0588235294,5.0,3.0,3.0,4.0,3.34753462716,3.0,3.0,3.69018006781,3.69018006781,5.0,4.0,4.07006379051,4.0,4.25234453073,4.0,5.0,4.08260618272,3.92946704651,3.81816592346,3.82785613768,5.0,4.40636245301,4.15841243327,5.0,4.70204353387,3.0,5.0,5.0
4.06478724968,3.86770448622,3.77810691229,3.70540787402,3.2078147406,3.87231733747,3.46539425505,3.5382862242,3.94794211538,3.83004245493,3.83118614814,4.0,3.0,5.0,3.0,4.0,3.49004320804,1.0,4.2142857143,4.2142857143,3.35620550823,3.36929085174,4.26573913476,3.38412873308,3.40942760128,3.12163778489,3.77810691229,3.77810691229,5.0,4.0,4.0,4.0,5.0,3.53069370807,3.0,3.94380887606,3.73099694262,3.64242470768,3.64228644132,5.0,4.12793807554,4.0,4.04102942307,4.33651122126,4.0,5.0,5.0
4.0,3.0,3.36329708538,3.54121740104,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.17128374972,4.0,2.0,3.0,3.0,1.0,3.6363636364,3.62725633791,4.0,2.0,5.0,3.30921187723,4.0,3.0,3.36329708538,3.36329708538,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.60515138893,4.0,3.0,4.0,4.0,3.0,4.0,3.51511727962,3.0,4.0,5.0
4.0,4.21851233529,3.88041370144,4.0,3.62511388545,4.20839468233,3.95142377525,3.95637937312,4.26030578696,4.17352040855,3.0,5.0,3.0,5.0,1.0,4.0,4.0147406299,1.0,4.2,3.0,3.95970940843,3.96540111292,4.48790975474,4.01468769229,3.91758703899,3.73538193179,3.88041370144,3.88041370144,4.0,5.0,5.0,5.0,5.0,3.89052635304,4.0,3.0,4.18363187967,4.08864708597,4.1047806187,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0
